# units Angstroms
#5495.872    AI(14)
#5572.548    AI
#5606.732    AI
#5650.703    AI(12)
5748.299    NeI(13)
#5764.418    NeI(13)
#5852.4878   NeI(6)
5875.618    HeI
5944.8342   NeI(1)
#6029.9971   NeI(3)
6074.3377   NeI(3)
6096.1630   NeI
6143.0623   NeI(1)
6163.5939   NeI(5)
6217.2813   NeI(1)
6266.4950   NeI(5)
6304.7892   NeI
6334.4279   NeI(1)
6382.9914   NeI(3)
6402.246    NeI(1)
6506.5279   NeI(3)
6532.8824   NeI
6598.9529   NeI(6)
6678.2      blend HeI 6678.149 with NeI 6678.2764
6717.0428   NeI
#6752.832    AI(11)
#6871.290    AI
6929.468    NeI(6)
6965.430    AI(1)
7032.4127   NeI(1)
#7065.188    HeI
7147.041    AI(1)
7173.939    NeI(6)
7245.167    NeI(3)
7281.349    HeI
7383.980    AI
7438.899    NeI
7488.872    NeI
7503.867    AI(8)
7514.651    AI
#7635.105    AI(1)
7723.8      blend AI(1) 7723.760 and AI(6) 7724.206
#7891.075    AI
7948.175    AI(6)
8006.156    AI(3)
8012.000    AI Blend of 8006 and 8014 for low dispersion
8014.786    AI(1)
#8082.458    NeI(6)
8103.692    AI(3)
8110.000    AI Blend of 8103 and 8115 for low dispersion
8115.311    AI(1)
8264.521    AI(8)
8408.208    AI(8)
8424.647    AI(3)
8521.441    AI(8)
9122.9674    ArI
9224.4992    ArI
9354.2198    ArI
9657.7863    ArI
9784.5028    ArI
